x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.582000000000000058e-06,5.244888790511742976e+18,7.618581413809336320e+18,9.568955544653234176e+18,9.809071460216061952e+18
1.588999999999999948e-06,5.259083139779102720e+18,7.641260427114417152e+18,9.598746283236648960e+18,9.839738640021585920e+18
1.596000000000000051e-06,5.273211888668185600e+18,7.663849046188804096e+18,9.628427249532432384e+18,9.870293669038231552e+18
1.602999999999999941e-06,5.287275188503448576e+18,7.686347349512477696e+18,9.657998452398637056e+18,9.900736547497433088e+18
1.610000000000000044e-06,5.301273190052438016e+18,7.708755415344245760e+18,9.687459900669126656e+18,9.931067275629991936e+18
1.616999999999999934e-06,5.315206043525458944e+18,7.731073321721003008e+18,9.716811603153479680e+18,9.961285853666056192e+18
1.624000000000000037e-06,5.329073898575275008e+18,7.753301146457007104e+18,9.746053568636909568e+18,9.991392281835177984e+18
1.630999999999999927e-06,5.342876904296817664e+18,7.775438967143115776e+18,9.775185805880186880e+18,1.002138656036622541e+19
1.638000000000000030e-06,5.356615209226862592e+18,7.797486861146114048e+18,9.804208323619526656e+18,1.005126868948747469e+19
1.644999999999999920e-06,5.370288961343783936e+18,7.819444905607922688e+18,9.833121130566531072e+18,1.008103866942649958e+19
1.652000000000000023e-06,5.383898308067241984e+18,7.841313177444955136e+18,9.861924235408076800e+18,1.011069650041028403e+19
1.658999999999999913e-06,5.397443396257935360e+18,7.863091753347297280e+18,9.890617646806261760e+18,1.014024218266512384e+19
1.666000000000000016e-06,5.410924372217331712e+18,7.884780709778089984e+18,9.919201373398276096e+18,1.016967571641670042e+19
1.672999999999999906e-06,5.424341381687400448e+18,7.906380122972743680e+18,9.947675423796371456e+18,1.019899710189000090e+19
1.680000000000000009e-06,5.437694569850391552e+18,7.927890068938261504e+18,9.976039806587721728e+18,1.022820633930940006e+19
1.686999999999999899e-06,5.450984081328565248e+18,7.949310623452509184e+18,1.000429453033436979e+19,1.025730342889858458e+19
1.694000000000000002e-06,5.464210060183974912e+18,7.970641862063532032e+18,1.003243960357313536e+19,1.028628837088059597e+19
1.700999999999999892e-06,5.477372649918229504e+18,7.991883860088828928e+18,1.006047503481554534e+19,1.031516116547781018e+19
1.707999999999999995e-06,5.490471993472287744e+18,8.013036692614649856e+18,1.008840083254771098e+19,1.034392181291194778e+19
1.714999999999999885e-06,5.503508233226223616e+18,8.034100434495328256e+18,1.011621700523028685e+19,1.037257031340405555e+19
1.721999999999999988e-06,5.516481510999041024e+18,8.055075160352526336e+18,1.014392356129836032e+19,1.040110666717451469e+19
1.728999999999999878e-06,5.529391968048454656e+18,8.075960944574616576e+18,1.017152050916138189e+19,1.042953087444303462e+19
